日期,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
5-29,"71,000","35,000","36,000",0,0,0,0,0,0,"304,542",0,"3,000","-3,000","498,946","191,404","307,542","340,542"
5-30,"34,000","86,000","-52,000",0,0,0,0,0,0,"236,394",0,0,0,"279,269","42,875","236,394","184,394"
5-31,"30,137","134,000","-103,863",0,0,0,0,0,0,"-31,037",0,0,0,"345,552","376,589","-31,037","-134,900"
6-1,"27,000","21,000","6,000",0,0,0,0,0,0,"-158,875",0,0,0,"178,000","336,875","-158,875","-152,875"
6-2,"83,000","19,000","64,000",0,0,0,0,0,0,"640,943",0,0,0,"893,572","252,629","640,943","704,943"
6-5,"10,000","102,000","-92,000",0,0,0,0,0,0,"-185,665",0,0,0,"121,289","306,954","-185,665","-277,665"
6-6,"4,000","2,000","2,000",0,0,0,0,0,0,"25,738",0,0,0,"817,595","791,857","25,738","27,738"
6-7,"11,000","13,000","-2,000",0,0,0,0,0,0,"504,317",0,0,0,"1,229,317","725,000","504,317","502,317"
6-8,"1,000","13,000","-12,000",0,0,0,0,0,0,"-449,490",0,0,0,"786,000","1,235,490","-449,490","-461,490"
6-9,"67,000","8,000","59,000",0,0,0,0,0,0,"228,136",0,0,0,"803,136","575,000","228,136","287,136"
6-12,"21,000","82,000","-61,000",0,0,0,0,0,0,"169,536",0,0,0,"735,412","565,876","169,536","108,536"
6-13,"204,000","33,000","171,000",0,0,0,0,0,0,"850,947",0,0,0,"1,850,947","1,000,000","850,947","1,021,947"
6-14,"71,000","2,000","69,000",0,0,0,0,0,0,"89,351",0,0,0,"896,766","807,415","89,351","158,351"
6-15,"38,000","41,000","-3,000",0,0,0,0,0,0,"427,794",0,0,0,"1,056,665","628,871","427,794","424,794"
